,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
4019,4019,17.021364768403256,2026-01-14 19:27:33.342812,2026-01-14 19:30:37.150327,0 days 00:03:03.807515,0.26849502894275373,0.02046242411609241,0.06303411248842672,8.740050162931439,0.1877317558269022,5.3314143256223505e-05,7.138522202181081,0.05930312423613857,2.1367331140463355,0.6808896731454211,0.0002609239133362293,4.864412137888028,0.35687239942151017,COMPLETE
2523,2523,17.039173558545336,2026-01-14 04:23:10.611698,2026-01-14 04:26:16.341773,0 days 00:03:05.730075,0.4294611214971607,0.04526228571544707,0.04693753637409927,7.715865359765488,0.14104064060944896,0.0003566696198070949,7.06682395776171,0.0817879472622888,1.989036344776588,0.6754096561480439,0.04784813073575203,6.578615979293091,0.9836986629248456,COMPLETE
2582,2582,17.045279989445877,2026-01-14 04:49:29.953648,2026-01-14 04:52:37.293072,0 days 00:03:07.339424,0.39017298148335655,0.05237752815577064,0.06356903691223853,7.018892973849095,0.12249880173346488,0.0002692477306650945,8.27614420279583,0.047801181774484114,2.003364825050305,0.656673861377746,0.04724393953718997,6.196405840607507,0.9409976517503292,COMPLETE
3568,3568,17.053210075924245,2026-01-14 14:52:19.166431,2026-01-14 14:55:55.930924,0 days 00:03:36.764493,0.38956804913118276,0.10144344057672189,0.051884057226437616,9.823075676848664,0.18344325359853522,0.00023182417238999534,7.74347176525586,0.07421529806867315,1.5495819304937055,0.6146865908391037,0.03488130275526101,4.844693230494307,0.8982496189054026,COMPLETE
3888,3888,17.056678191818285,2026-01-14 18:30:09.524913,2026-01-14 18:33:16.620670,0 days 00:03:07.095757,0.2635795439133606,0.05848501160181971,0.032056420678179647,7.444278352671289,0.26694931614941253,0.00032518367447838476,8.457937280644588,0.07256567170529515,3.0088469620373237,0.50798208718679,0.06453877061952798,6.349798617429944,0.9644543459525308,COMPLETE
2899,2899,17.06842218830614,2026-01-14 07:13:15.004427,2026-01-14 07:16:24.186433,0 days 00:03:09.182006,0.41598430861144003,0.0774377511613836,0.004644180765879288,6.927191079687143,0.16197810010099895,0.000483270549346894,7.81865386316443,0.08984653166420889,1.5087143329547643,0.6841633002548742,0.034476249483118004,5.1306299164301965,0.9172775346681966,COMPLETE
3265,3265,17.068543694019827,2026-01-14 10:53:58.328487,2026-01-14 10:56:58.567706,0 days 00:03:00.239219,0.3960534269996867,0.06938536491405597,0.03356133550519904,9.094103229505361,0.2170664751662269,0.00020801466820416197,6.944659854551162,0.018052888312083123,1.896433331137157,0.5652968537697982,0.09336375392474197,5.689607673910039,0.9996343472583978,COMPLETE
3266,3266,17.087915272536577,2026-01-14 10:54:25.644423,2026-01-14 10:57:22.884878,0 days 00:02:57.240455,0.19671644526833915,0.060561503772728995,0.09734330601407977,10.125677099703589,0.2051588323481272,0.00022534742505083978,7.053623936332754,0.018034154758744616,1.8869121805517948,0.6097059993749783,0.089951398229458,3.878928135763702,0.9994301787932117,COMPLETE
3678,3678,17.13004280867829,2026-01-14 15:47:41.692945,2026-01-14 15:50:55.547296,0 days 00:03:13.854351,0.11619472698447807,0.06631410403220357,0.019742102971963327,7.892893047956207,0.3340348672837004,7.662052229831531e-05,7.2822895805088645,0.03802385848879679,2.526205987676513,0.6414446339227825,0.0001379076950342728,4.6627160108486185,0.9459776678405069,COMPLETE
4058,4058,17.15736501729829,2026-01-14 19:46:58.714900,2026-01-14 19:50:20.894775,0 days 00:03:22.179875,0.20890718973699687,0.08176748978971626,0.05366174100614536,10.59379150154147,0.2084516700591295,0.0008066716867423527,7.284774714936136,0.0005107114254117549,1.5145084328962173,0.5568781974422672,0.08349697391631059,5.7123565776148215,0.9316706882321173,COMPLETE
1511,1511,17.157713180657936,2026-01-13 20:00:33.109264,2026-01-13 20:03:28.540504,0 days 00:02:55.431240,0.3420708238742496,0.13657868941482634,0.1885837754942919,2.9625427492243337,0.031642382939971965,0.0009925012770696977,2.677392927251924,0.24716187963877015,1.0004583422723141,0.40922825575247496,0.07753883861494851,9.831270134730444,0.8200125670816036,COMPLETE
3445,3445,17.16976976762624,2026-01-14 13:49:33.825254,2026-01-14 13:53:42.456687,0 days 00:04:08.631433,0.4011331599358892,0.07718349279596391,0.030770531295750435,9.622076859699435,0.22196890786916157,0.0005662381477402575,7.698369233054535,0.06821012518375807,2.4746520037297115,0.5647958122950087,0.06841755441220845,5.245855127689862,0.9817231572339065,COMPLETE
2491,2491,17.17051778342742,2026-01-14 04:08:55.868922,2026-01-14 04:12:06.847576,0 days 00:03:10.978654,0.38361115848037464,0.06375475271810614,0.01879208281665451,6.963249395889787,0.15379633590617586,9.386760911162201e-05,7.306110481019433,0.06405684816159533,2.2274478004768627,0.6112728433924854,0.11084011014725736,6.246772582278131,0.9241115284325695,COMPLETE
2251,2251,17.176405936471784,2026-01-14 02:18:27.796521,2026-01-14 02:21:45.425203,0 days 00:03:17.628682,0.3249323249730913,0.05898613478144609,0.0657288315105228,7.234328131153156,0.015851990974486096,5.232037691908819e-06,7.145625229941639,0.08449047717924209,2.089305683425283,0.45970700725561187,0.04975626755526395,10.676640798261733,0.902069722839683,COMPLETE
2122,2122,17.191422844043007,2026-01-14 01:18:16.854888,2026-01-14 01:21:35.974291,0 days 00:03:19.119403,0.3198158867933837,0.15043483387360454,0.27534540444754374,5.643731853045893,0.018539945215832136,0.0005608676498641735,1.527648129551351,0.12361179539387586,1.6061153442334275,0.46597564017287213,0.015461466504410225,11.465819579012152,0.9180665049254276,COMPLETE
1752,1752,17.198816705294853,2026-01-13 22:27:51.426919,2026-01-13 22:30:58.032661,0 days 00:03:06.605742,0.33928252912283813,0.11775904773066143,0.058582594313177715,3.540695574782605,0.05147624539432306,0.00039156080152470923,1.7453979731369285,0.21029799264297971,1.418201684053547,0.4312369282303813,0.05176828947549869,10.782467459480172,0.8861394644047641,COMPLETE
