,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
4958,4958,20.385793136899682,0.00012951217812822845,6.646009558156543,0.8972547914352098,1.1902346300845028,0.045337813910283256,8.711629482060587,0.24345291140530537,0.4743139109858436,0.016291492477221906,0.6954495467209465
2683,2683,20.44986973988685,0.0004178740338157314,7.121573816870024,0.689918722715742,1.1970831012810763,0.09277140530153008,8.127062582189717,0.2986163191439194,0.48013747828227343,0.02198315366821717,0.6701414715823975
1724,1724,20.459333611555422,7.317864174551897e-05,6.835727150047947,0.49679121889649924,1.376404622194717,0.06928210292354431,9.182551452782693,0.2912576807452371,0.4902282211399381,0.012881218998824316,0.5986436273778575
3615,3615,20.469758762046368,0.0002633982805828782,6.154747350613013,0.5839752048467343,1.6934824043944754,0.0641559608212823,2.6830762343103896,0.10020479851781927,0.4825153691094012,0.0003295048628892544,0.7002468962756444
3799,3799,20.49686685118799,0.00014107346397830128,6.492975168087872,0.5102119496064254,1.45951412313747,0.0465513563538244,8.844589792368899,0.19810807272292433,0.46033225246149995,0.021608726933573193,0.6435827482680642
3123,3123,20.500978496897474,0.0003710395631812229,8.430721262014412,0.5319878845706023,1.000966062655103,0.10815874732244893,8.462982913693232,0.3352113724673341,0.4913898112345031,0.019509037337390085,0.637731524685314
4939,4939,20.5258793782013,0.0006185658097804356,7.810385899504315,0.5837721572618404,1.5045362257108168,0.06130889085573947,9.028864072612484,0.34900708043649975,0.473285366584795,0.03313717613127029,0.7161631721721253
3470,3470,20.526361451310052,0.0003650547245707583,2.491982018433176,0.7624330100071908,1.7696786095549122,0.05004339803651488,8.124240293136742,0.2438450721055564,0.4610983637670843,0.030413092066233976,0.7028305185219165
2455,2455,20.54460559588052,0.0003697568289439394,6.163125149291004,0.5372065461527646,1.6502359423641988,0.06281460871065181,9.295957324171216,0.26010788999459394,0.4889367212572287,0.01716007967878887,0.6845261148359186
3468,3468,20.571158744633216,0.00012614597339308614,5.544990237242499,0.7560351028631729,1.6871676661916246,0.052834798497683175,7.9873168489585415,0.07657455584777849,0.4604569715746949,0.01466574883082512,0.7022542720640276
1715,1715,20.576366767015294,0.0002869104957557374,6.855773503097981,0.5133499958862165,1.0421067104065707,0.06396535531476968,8.820900278948479,0.2941519823360225,0.4881717376715614,0.01593508567324561,0.591192416846951
3344,3344,20.58781360378087,6.656165044783028e-05,7.912911402769502,0.3359295906447571,1.6869954074533302,0.08394329088057739,8.2176169008498,0.27844987144828204,0.49996354990342745,0.016839758349751814,0.7279794132010753
4625,4625,20.600196225619698,0.00010022327649165598,7.492263632554167,0.5265881088616591,1.000743992885102,0.12346763088746504,1.5595036655555792,0.24225822931954807,0.4833705302555978,0.03383123165678878,0.7821159709321001
2180,2180,20.609593937690697,0.0005598427848194821,8.129994011792542,0.49036316862590873,1.69808960034158,0.07796481601241287,9.442082521376443,0.33133607478467736,0.46460064525422895,0.05047206357982143,0.5768346626295605
2591,2591,20.627916390289116,0.00014617075902370537,2.9913736350377453,0.5592375331758573,1.4096361986261086,0.043443142406346585,8.051261275962519,0.2615687677565254,0.47880738183849203,0.029413068412207463,0.6569793467590073
1618,1618,20.66104991431839,0.0001334920003465208,3.8458195870006104,0.5478819744563921,1.5208526637955653,0.0371993458721276,7.856226930928943,0.2364090282629624,0.48213978873033536,0.022681964116968573,0.6849054396570079
4234,4234,20.671076340352087,0.00030997767518163897,2.4360083518679487,0.5582489566338397,1.5076770726116677,4.1906879258146734e-05,2.19111526330133,0.24235826335992275,0.47710262123815933,0.018239557222712616,0.6579050675529782
2836,2836,20.679761202183688,0.00026827718551896844,6.340392700718038,0.5528291447444265,1.7727885190450978,0.12109897604065582,8.688491059187017,0.32106314331439506,0.46335043418592237,0.029696206690931183,0.6821434162946759
4225,4225,20.69319019645136,0.0006345430395896627,3.808933875167644,0.5704639486834765,1.9250947673278316,0.06555661881486372,1.57638234257215,0.26018511817816586,0.478306066763211,0.05849611773150479,0.7565233401433415
4597,4597,20.712141841203312,0.00035393323893245885,5.900519572773759,0.5473921153261798,1.532689962087522,0.07641671404066396,1.8748551375309486,0.23584837865677089,0.4741016816313806,0.04639889480639149,0.7287604117446772
2556,2556,20.71256864061912,0.0003081497056883528,3.254176855723686,0.5247064424241591,2.075414794445109,0.08141283682507051,7.84339751901199,0.31343155888629337,0.45238756530180546,0.04137927878586201,0.7355735512117308
4026,4026,20.784812549277397,9.85974804939147e-05,6.447593201776203,0.8974736491722528,1.6818995944497748,0.08024211790932886,7.704630094447245,0.26321451812679775,0.4754060461110168,0.021121274348213953,0.7292208316212794
1725,1725,20.84381585801006,0.0004683940800586622,7.10160524420012,0.49784691589272634,1.0487141870095615,0.06473602130911203,9.345093600496012,0.3023260275491859,0.48963736368880867,0.016119720151755362,0.5861218095199933
4429,4429,20.849561128619865,0.00014790076103289734,2.8291396548288863,0.9133163554207414,1.4724750579019856,0.04511832463963946,9.207681480531736,0.15626815557583904,0.47891691169006373,0.015890306712947756,0.7451943663267193
2077,2077,20.85547824312839,0.0005115778281570545,6.0327714352925135,0.5219647304070271,1.2948263225353498,0.014872026299732936,9.510683364331053,0.3073084364503588,0.49926005471629226,0.0003920614373032552,0.5573087852687287
3243,3243,20.894081524695412,0.0005272769944733841,5.988890426966558,0.7547912328228639,1.1927037068756028,0.023645710598228308,8.162416259002228,0.22702110188125246,0.46307331382899114,0.018647223268618614,0.7128329672082927
1607,1607,20.90847946879065,0.0004009454506427304,4.127847329334843,0.5335770305908794,1.6759766670736052,0.05657661631092933,7.520755231404245,0.1618216700896111,0.47509926712607375,0.02581806473641135,0.6698805616412823
